trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
412,False,"{'a': 0.2, 'e': 0.016407774526292645}",30,13,28.63189027442344,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.2, 'e': 0.01624451444194987}",20,6,27.585094981013732,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.2, 'e': 0.016082878822588433}",20,15,8.186025365013132,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.2, 'e': 0.015922851504511698}",30,17,22.979125446814106,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.2, 'e': 0.015764416484854486}",20,6,24.121915678002086,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.2, 'e': 0.01560755791998283}",30,23,13.816000330829526,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.2, 'e': 0.015452260123909515}",25,14,21.662965842392982,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.2, 'e': 0.015298507566725518}",20,12,11.94135971684102,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.2, 'e': 0.01514628487304698}",30,12,35.29148107845589,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.2, 'e': 0.014995576820477703}",20,16,8.881098639632777,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.2, 'e': 0.014846368338086832}",20,8,23.29111652712979,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.2, 'e': 0.014698644504901784}",20,10,19.159541119395882,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.2, 'e': 0.014552390548416123}",20,6,28.65187339863534,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.2, 'e': 0.01440759184311235}",20,12,12.987073383639755,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.2, 'e': 0.014264233908999256}",25,11,22.205845303391467,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
427,False,"{'a': 0.2, 'e': 0.014122302410163962}",20,9,15.76188467273524,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.2, 'e': 0.013981783153338296}",25,16,17.978724954852005,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.2, 'e': 0.013842662086479501}",20,11,19.096155790464444,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.2, 'e': 0.013704925297364945}",25,13,26.169215002881586,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.2, 'e': 0.013568559012200934}",20,14,11.70217927763275,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.2, 'e': 0.013433549594245302}",25,15,12.593656135286063,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.2, 'e': 0.013299883542443767}",25,1,36.43015684568851,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.2, 'e': 0.013167547490079751}",25,14,20.21862222852145,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.2, 'e': 0.013036528203437736}",25,6,28.33050355602242,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.2, 'e': 0.012906812580479862}",20,9,17.435038259767694,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.2, 'e': 0.01277838764953576}",20,16,7.258286761685417,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.2, 'e': 0.012651240568005305}",20,12,12.00317997982403,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.2, 'e': 0.012525358621074385}",25,13,26.032079069677263,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.2, 'e': 0.012400729220443406}",25,12,22.410741539282835,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.2, 'e': 0.012277339903068436}",25,13,19.484106020574444,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.2, 'e': 0.012155178329914935}",25,19,13.572077036574402,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.2, 'e': 0.012034232284723775}",25,12,21.85210069565767,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.2, 'e': 0.011914489672789647}",25,18,12.087001314179034,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.2, 'e': 0.011795938519751562}",30,10,34.25566982655667,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.2, 'e': 0.011678566970395442}",30,3,51.239226207978,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.2, 'e': 0.011562363287468536}",30,13,33.14181474987531,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.2, 'e': 0.01144731585050571}",25,13,19.09078547160678,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.2, 'e': 0.011333413154667387}",35,9,45.878351863222086,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.2, 'e': 0.011220643809589084}",30,22,13.391203595765107,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.2, 'e': 0.011108996538242306}",25,16,17.570331818383945,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.2, 'e': 0.010998460175806881}",25,11,17.196453300332045,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
453,False,"{'a': 0.2, 'e': 0.01088902366855444}",25,13,24.279318715691097,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.2, 'e': 0.010780676072743084}",25,7,33.98979672444319,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.2, 'e': 0.010673406553522925}",25,15,16.90563152215276,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.2, 'e': 0.010567204383852655}",20,8,25.917512395065856,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.2, 'e': 0.010462058943426795}",30,20,17.24673141535023,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.2, 'e': 0.010357959717613696}",20,14,9.604121254182582,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.2, 'e': 0.010254896296404022}",20,14,12.5616003780764,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,False,"{'a': 0.2, 'e': 0.010152858373369763}",25,17,19.319265667090946,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.2, 'e': 0.010051835744633576}",30,13,23.45623960954586,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
462,False,"{'a': 0.2, 'e': 0.00995181830784842}",25,14,20.307120150517555,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,8,27.913358597197757,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,15,18.294904046056427,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,16,8.433755493540684,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,3,25.001152549180688,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,12,15.503717295892535,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,20,26.824495623381303,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,15,40.32477156692882,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,11,27.937005473165854,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,20,20.95986623184154,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,11,22.741810467277674,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
